wikipage,Industry,organization,Candidate Organization Link
https://en.wikipedia.org/wiki/National_Association_of_Manufacturers,Manufacturing,National Association of Manufacturers,http://www.nam.org
https://en.wikipedia.org/wiki/SME_(society),Manufacturing,Society of Manufacturing Engineers,http://www.sme.org
"https://en.wikipedia.org/wiki/Fabricators_%26_Manufacturers_Association,_International",Manufacturing,"Fabricators & Manufacturers Association, International",https://www.fmanet.org
https://en.wikipedia.org/wiki/Packaging_Machinery_Manufacturers_Institute,Manufacturing,Packaging Machinery Manufacturers Institute,http://www.pmmi.org
https://en.wikipedia.org/wiki/American_Culinary_Federation,Hospitality,American Culinary Federation,https://www.acfchefs.org
https://en.wikipedia.org/wiki/National_Retail_Federation,Hospitality,National Retail Federation Foundation,https://nrf.com/who-we-are/nrf-foundation
https://en.wikipedia.org/wiki/American_Hotel_%26_Lodging_Educational_Institute,Hospitality,American Hotel & Lodging Educational Institute,https://www.ahlei.org
https://en.wikipedia.org/wiki/National_Restaurant_Association,Hospitality,National Restaurant Association Education Foundation,https://chooserestaurants.org
https://en.wikipedia.org/wiki/American_Health_Information_Management_Association,Healthcare,American Health Information Management Association (AHIMA),http://www.ahima.org
https://en.wikipedia.org/wiki/American_Hospital_Association,Healthcare,American Hospital Association (AHA),https://www.aha.org/front
,Healthcare,National Association for Healthcare Quality (NAHQ),https://nahq.org
,Healthcare,Healthcare Career Advancement Program (H-CAP),https://www.hcapinc.org